,Aerospace & Aviation,Agriculture,Automobile / Autocomponents,Banking / Insurance & Finance,Beauty & Wellness Industry,Building & Construction,Building / Hardware & Home Furnishings,Chemicals & Pharmaceuticals,Commerce or Humanities Stream,Defense & Military,Designing & Art,Education / Skill Development,Electronics & Hardware,Emergency Services,Engineering & Technology,Exams and Syllabus,Food Processing,Gems & Jewellery,Handlooms & Handicrafts,Healthcare,Humanistic Studies,Information Technology / Software,Institutes in India,ITES / BPO,Law & Order,Leather & Leather Goods,Management & Marketing,Media / Entertainment & Animation,Organised Retail,Psychometric Career Test,Public Admin & Government,Real Estate,Science & Research,Sports,Study Abroad,Telecom,Textiles & Garments,Tourism / Hospitality & Travel,Transportation/Logistics/Warehousing & Packaging,some error occured
0,Airline Pilot,Agriculture & Allied Fields,CNC Operator,Actuary,Makeup Artist,Bar Bender,Building hardware and home furnishings,Chemical Technician,Commerce,Air Force Related Careers,Accessory Designers,School Psychologists,Desktop Support engineer,Fire Fighter,Instrumentation Engineer,IPMAT,Dairy Farmer ,Jewellery Setter,Knotter,Geneticist,Anthropologist,Database Administrator,College Admissions,Customer Support - On Phone (Regional Language),Judge,Leather and leather goods,Advertising,Anchor,Retail Cashier,Ideal Career Test,Indian Administrative Services,Real Estate Broker,Astronomer,Sportsperson,Study in USA,BSS Engineer,Batik Printing Specialist,Cabin Crew,Loader,-
1,Aerospace Materials Specialist,Biological Scientist,Lathe Operator,Bank Officer,-,Construction Worker,Building Carpenter,Equipment Operator,-,Army Related Careers,Architect,Clinical Psychologists,Server Support engineer,Risk Management Specialist,Mechanical Engineer,CET,Dairy Process Worker ,Enameller,Embroidery and needle worker,Audiologists,Archaeologists,DTP Operators,AD Patel Institute of Technology Anand,DTP Publisher,Civil Lawyer,Pattern and Template Maker,Business Analyst,Animator,Counter sales Executives,-,Indian Foreign Services Officer,-,Biologists,Coach,Study in Canada,CCE (Repair Center),Textile Machine Operators,Chef,Courier Personal,-
2,Air Traffic Controller,Dietitian,Maintainance Technician,Chartered Accountant,-,Mason,Ceiling Fixer,Industrial Chemical Manufacturing Attendant,-,Navy Related Careers,Beautician,Foreign Langauge Teacher,Set Top Box Installer/Service,-,Aeronautical Engineer,MUCMET,Food Technologist/Analyst,Jewellery Designer (Manual and Computerized),Cane and Bamboo worker,Ayurvedic Physician,Economists,Game Designer,Amity University Lucknow,Data Entry Operator,Constitutional Lawyer,Cutter,Event Management,Audio and Video Technologist,Customer Service Assistant,-,Indian Forest Service Officer,-,Genetics Scientists,Sports Physiotherapist,Study in UK,Cluster In -charge ,Block Printer,Hotel Managers,Operation Superisor,-
3,Aircraft Cleaner,Environmental scientist,Spare Part Opertaion Executive,Company Secretary,-,Plumber,Civil Engineering Technician,lab Attendant,-,Police Service- Border Security Force,Fashion Designer,Lecturers,Pick and Place Assembly Operator,-,Agricultural Engineer,UGAT,Baker,Metal Setter ,Carpet Designer,Dentist,Historians,Hardware Engineer,Maharaja Agrasen University Solan,Customer Support - On Phone (English Language),Corporate Lawyer,Stitcher,Finance Management,Choreographer,Floor Managers,-,Indian Information Service Officer,-,Geologist,Sports Psychologist,Study in New Zealand,Cluster Manager,Designer & Master Cutter,Interpreters & Translators,Taxi Driver,-
4,Aircraft Maintenance Technician,Fishery Scientist,Washer,Cost Accountant,-,Road Worker,Draftsman,Manufacturing Assistant,-,Police Service - Central Reserve Police Force,Footwear Designer,Librarian,Network Planning / Infrastructure Eng.,-,Aircraft Maintenance Engineer,SET,-,Polisher ,Fabricator Designer,Forensic Scientists,Psychiatrist,Networking Engineer,Rashtrasant Tukadoji Maharaj Nagpur University Nagpur,Customer Support - On Email/Chat,Criminal Lawyer,Assistant Operator -Finished Leather,Hospital Management,Disc Jockeys,Online shopping process manager,-,Indian Police Services Officer,-,Mathematician,Medicine Expert,Study in Australia,Core Engineer,Doffer cum piercer,Marine Engineers,Commercial Vehicle Driver,-
5,Aircraft Refueller,Food Technologists,-,Financial Planners,-,Welder,Earth work excavator,Chemical and Pharmaceutical Operators,-,-,Furniture Designer,Physical Education Instructor/Coach,Switching/ Router Engineer,-,Automobile Engineer,FEAT,-,Wax Setter,Pulp Beater and Paper Cutter,Homoeopathy,Psychologists,Software Engineer Programmer,Alliance School of Law Bangalore,Software Installation Engineer,Family Lawyer,Assistant Operator Footwear,Human Resource Management,Editor,Retail Coordinator,-,Indian Postal Service Officer,-,Microbiologists,Sports Manager,Study in Germany,Customer Care Executive(Call Center),Embroidery and Needle Worker,Tourist Guide/Manager,Driving Assistant,-
6,Terminal Operations Manager,Geographers  ,-,Insurance Officer,-,Supervisors  ,Electrical Wiremen/Technician,Process attendant-Chemical Plants,-,-,Gemologist,Principal,Test Engineer,-,Biotechnologist,ISCAT,-,Casting Machine Operator,Rag Chopper,Microbiologist,Social Worker,System Architect,University of Lucknow Lucknow,Technical Support - Voice/Non Voice,Labour Law Lawyer,Buffing Operator,Market Research,Journalist,Retail sales executive,-,Indian Railway Services Officer,-,Physicists,Sports Officials,-,Distributor Sales Representative (Handset),Textile Process Operator,Video Jockey,Documentation Staff,-
7,Reservation and Ticketing Agent,Geologists,-,Investment Analyst,-,Foremen,Fitter,Production and QC Technician,-,-,Graphics Designer,Professors,Technical Support Engineer,-,Chemical Engineer,MU-OET,-,Diamond Assorter and Bagger,Calendering Operator,Nursing,Life Skill Trainer,Technical Writers,Central University of Punjab Bathinda,Digital Marketer,Taxation Lawyer,-,Marketing Manager,News Reader,Sales Assistant,-,Indian Revenue Service Officer,-,Statistician,Sports Lawyer,-,Fault Management Engineer ,Fabric Technologists,Tour Operators,Operator/Workmen/Frontline Staff,-
8,Ramp Service Agent,Indian Forest Service Officer  ,-,Research Analyst,-,Crane operators  ,Interior Designer,-,-,-,Illustrator,School Teacher,Maintainence Engineer,-,Civil Engineer,jeemain,-,Jewellery Merchandiser ,Handloom Technologist,Nutritionist,Elder care services,Web Designer,Smt Kamlaben Gambhirchand Shah Law School Mumbai,SEO Executive,Patent Attorney,-,Public Relations Executive,PhotoJournalist,Store Manager,-,-,-,Biophysicist,-,-,Field Maintenance Engineer ,Fashion Merchandiser,Health Tourism,warehouse Supervisor,-
9,Ground Operation Staff,Meteorologist,-,Security Analyst,-,Electricians,Paint Sprayer,-,-,-,Interior Designers,Special Educators,Power Eelectrician,-,Communication Engineer,jeeadvance,-,Planner/Maker,-,Opthalomogists,Career counselor,App Developer,NIILM University Kaithal,SMO Executive,Criminal Investigator,-,Retail Management,Radio Jockey,Visual Merchandiser,-,-,-,Hydrologist,-,-,Field Sales Executive,Garment Ironer,Adventure Tourism,Automative service Technician,-
10,Cabin Crew/Flight Attendant,Nutritionists,-,Stock Brokers,-,Carpenters  ,Scaffolder,-,-,-,Jewellery Designers,Translator,Mechanic - TV/Radio,-,Computer Engineer,bitsat,-,Lase Operator,-,Pharmacists,Research Assistant,IT Recovery Specialist,Smt Velagapudi Durgamba Siddhartha Law College Vijayawada,Operating Systems Engineer,-,-,Rural Management,Reporters,Home Delivery Agents,-,-,-,Nuclear Power Reactor Operator,-,-,Territory Sales Manager (Broadband/Prepaid ,Garment Packer,Holiday Consultant,Accesory Fitter,-
11,Baggage and Cargo Handler,Oceanographers,-,Underwriter,-,-,Sheet Metal Worker,-,-,-,Photographer,Tutor,Refrigeration & Air Conditioning Mechanic,-,Electrical Engineer,viteee,-,Diamond Processing Sawyer,-,Physician Doctor,Corporate Trainers,Ethical Hacker,Aligarh Muslim University Aligarh,Customer Support - On Phone(English Language),-,-,Sales Manager,Video Editor,Security Guard,-,-,-,-,-,-,Transmission Engineer ,Finishing Incharge,Deictics,Automobile SaleS Executive,-
12,Avionics and ElectronicsTechnician,Zoologists,-,Trading Advisor,-,-,Tiler,-,-,-,Textile Designers,-,Batttery Repairer,-,Electronics Engineer,AMUEEE,-,Diamond Bruter,-,Physiotherapists,NGO Management,Data scientist,BDS Institute of Management Meerut,Associate-Medical Transcription,-,-,Hospitality and Tourism management,Writer,-,-,-,-,-,-,-,Sales Executive (Broadband),Tailor,Exercise Instructor,Automotive Body Technician,-
13,Airport security Executive,Crop Farmer,-,Accountant,-,-,Turner,-,-,-,Product Designer,-,Electroplater,-,Mining & Merallurgical Engineer,SRMEEE,-,Germologist ,-,Psychologist,Distance Learning Coordinator,UX - UI Designer,Central University of Kashmir Srinagar,Language Transalator,-,-,Banking and Insurance management,Blogger,-,-,-,-,-,-,-,Product Specialist Engineer,Textile Designer,Food Stylist,Automotive Electrician,-
14,Aircraft Structures Technician,Farm Eqipment Mechanic,-,Bank Probationary Officer,-,-,-,-,-,-,Retail and Exhibition Designer,-,Lineman/Wireman,-,Petroleum Engineer,BVP-CET,-,-,-,Speech Therapists,Speech Pathologist,Data Architect,University of North Bengal Siliguri,-,-,-,Real Estate Management,Content Writer,-,-,-,-,-,-,-,Optical Fiber Splicer/Technician,Kaza (Button Hole) & Button Operator,Fare and Ticketing Agents,Automotive engine repair Technician,-
15,Commercial Pilot,Fisheries,-,Bank Clerks,-,-,-,-,-,-,Animation Film Maker,-,Cable Jointer,-,Rubber and leather Technologists,COMEDK-UGET,-,-,-,Veterinarian,Marriage Counsellor,Quality Analyst,IMS Unison University Dehradun,-,-,-,Health Care management,Video Journalist,-,-,-,-,-,-,-,Network Management Engineer ,knitter,-,Automotive Paint shop Assistant,-
16,-,Gardener,-,Bank Specialist Officer,-,-,-,-,-,-,User Experience Designer,-,-,-,Biochemical Engineer,AEEE,-,-,-,General duty Attendant,Sociologist,Cloud Computing Analyst,Tamil Nadu National Law School Tiruchirappalli,-,-,-,Aviation Management,Social Media Manager,-,-,-,-,-,-,-,Installation Eng -L2 and L3  ,Machine Embroidery Operator,-,Freight Inspector,-
17,-,Greenhouse Fitter,-,Insurance Claims Manager,-,-,-,-,-,-,Life Style Accessory Designer,-,-,-,Bio Medical Engineer,CLAT,-,-,-,Geriatric Nursing Assistant,-,IT Project Manager,Techno Global University Shillong,-,-,-,Brand management,Photo journalist,-,-,-,-,-,-,-,Installation Eng - SDH-DWDM,Ornamentalist,-,Logistician,-
18,-,Horticulture Farmer,-,Collections & Recovery Manager,-,-,-,-,-,-,Toy and game Designer,-,-,-,Electrical & Electronics Engineer,AILET,-,-,-,Dietician Assistant,-,Multimedia Developer,Rajiv Gandhi National University of Law Patiala,-,-,-,Dairy Product Management,Online Reputational Manager,-,-,-,-,-,-,-,In-store Promoter ,Reeling & Winding Incharge,-,Transportation Manager,-
