,job position,company,location
0,TSM - Mancherial,UPL,"Hyderabad, Telangana, India"
1,Project Executive  - Monitoring and Evaluation,Dr Reddy's Foundation,"Hyderabad, Telangana, India"
2,Agronomic Solutions Manager - Weed Mgt,Bayer,"Hyderabad, Telangana, India"
3,"Research Analyst - Agri, Food & Beverage",Mordor Intelligence,"Hyderabad, Telangana, India"
4,Intellecap - Associate/Senior Associate - Business Consulting and Research (2-6 yrs),Aavishkaar Group,"Hyderabad, Telangana, India"
5,Senior Agronomist,Antal International,"Hyderabad, Telangana, India"
6,TECHNICAL ADVISOR_Hubli - India,Valagro,"Hyderabad, Telangana, India"
7,TECHNICAL ADVISOR_Aurangabad - India,Valagro,"Hyderabad, Telangana, India"
8,TECHNICAL ADVISOR_Aurangabad - India,Valagro,"Hyderabad, Telangana, India"
9,"Service Planner - Hyderabad Central | Bsc, | Agriculture | Exp 0-2 years",Rentokil Initial,"Ameerpet, Telangana, India"
10,TECHNICAL ADVISOR_Nashik - India,Valagro,"Hyderabad, Telangana, India"
11,DGM - Learning and Development - Agriculture,Transhill Management Services,"Hyderabad, Telangana, India"
12,TECHNICAL ADVISOR_Tamil Nadu - India,Valagro,"Hyderabad, Telangana, India"
13,Associate/Senior Associate - Climate Change and Energy - Business Consulting and Research,Aavishkaar Group,"Hyderabad, Telangana, India"
14,TECHNICAL ADVISOR_Gujarat & Madhya Pradesh - India,Valagro,"Hyderabad, Telangana, India"
15,TECHNICAL ADVISOR_Tumkur - India,Valagro,"Hyderabad, Telangana, India"
16,TECHNICAL ADVISOR_Tumkur - India,Valagro,"Hyderabad, Telangana, India"
17,Operations Internship in Hyderabad at Kisaan Parivar Private Limited,"Hyderabad, Telangana, India",Be an early applicant
18,Head - Institutional Sales - Agri,Transhill Management Services,"Hyderabad, Telangana, India"
19,Regional Director- West and Central Africa,ICRISAT,"Hyderabad, Telangana, India"
20,TECHNICAL ADVISOR_ Nashik - India,Valagro,"Hyderabad, Telangana, India"
21,TECHNICAL ADVISOR_Beed - India,Valagro,"Hyderabad, Telangana, India"
22,Head Technical Services,Sarthee Consultancy,"Hyderabad, Telangana, India"
23,Robotics Training part time job/internship at Hyderabad in Leap Robots,Leap Robots,"Hyderabad, Telangana, India"
24,Product Manager Feed _ India,Nutreco,"Hyderabad, Telangana, India"
